,Topic,tweet
0,  درخواست «تصویب طرح تخریب ساخت و سازهای غیر مجاز؛ بعد ۴ سال معطلی در مجلس»,0
1,  درخواست اعلام نتیجه پیگیری محاکمه حسن روحانی (فریدون),0
2,  درخواست حمایت و حفاظت از جنگل‌ها و مراتع کشور,0
3,  اعتراض به آزمون دانشنامه تخصص داخلی ۱۴۰۳,0
4,  درخواست حل مشکل تمدید و ویرایش ثبت سفارش‌های کشنده‌های اروپایی,0
5,  درخواست کاهش بیس علوم پایه شهریور ۱۴۰۳ (پزشکی +دندان پزشکی)، سوالات درس معارف رشته پزشکی، سوالات سلامت دهان و دندان رشته دندان پزشکی,0
6,  درخواست بررسی و اصلاح نظام رتبه‌دهی کنکور ۱۴۰۳ به منظور برقراری عدالت در همترازی ترازهای سال‌های متوالی,0
7,  اعتراض به مشکلات و کاستی‌های دانشگاه‌های آزاد اسلامی,0
8,  اعتراض به رتبه اعمال شده برای فرهنگیان بازنشسته ۱۴۰۰,0
9,  درخواست کارکنان وزارت فرهنگ و ارشاد اسلامی از وزیر فرهیخته و گرانقدر جناب آقای دکتر سید عباس صالحی,0
10,  درخواست اجرای ضوابط اجرایی نحوه اعطای مزایای جانبی به کارکنان دستگاه‌های اجرایی در دانشگاه‌های علوم پزشکی (کمک های رفاهی),0
11,  درخواست کارمندان شرکت‌های برق منطقه‌ای و سازمان آب و برق وزارت نیرو مبنی بر بازگشت به نظام هماهنگ پرداخت صنعت آب و برق و یا تغییر قرارداد شغلی به قانون کار,0
12,  درخواست اجرای اصلاح در تأثیر قطعی معدل در کنکور,0
13,  اعتراض به بیس علوم پایه ( پزشکی + دندان پزشکی) + درس معارف پزشکی,0
14,  درخواست انتخاب رئیس جدید سازمان امور مالیاتی از بدنه سازمان و همسو با اندیشه های دولت دکتر پزشکیان,0
15,  درخواست عزل فوری باقری فرد از معاونت آموزشی وزارت بهداشت,0
16,  اعتراض به عدم تحویل خودرو توسط شرکت مدیران خودرو,0
17,  درخواست پایان دادن به تأثیر معدل و آزمون نهایی کشور,0
18,  حمایت از دکتر رضا فرجی دانا برای تصدی پست معاونت آموزشی وزارت علوم تحقیقات و فناوری,0
19,  اعتراض به کاهش ۳۰ درصد ظرفیت اجرایی مجریان ذی‌صلاح,0
20,  اعتراض به قطعی مکرر برق,0
21,  درخواست پرداخت حق اولاد به خانم‌های متاهل,0
22,  درخواست جذب دو سوم نیرو‌های پرورشی,0
23,  درخواست تبدیل وضعیت نیروهای شرکتی سازمان تأمین اجتماعی,0
24,  اعتراض به توزیع داروی کم کیفیت بوپرنورفین ۲ میلی‌گرم شرکت داروپخش,0
25,  درخواست یکسان‌سازی دستمزد بازرسان گاز برای همه استان‌‌ها بر اساس بالاترین نرخ نهادینه شده,0
26,  درخواست استخدام نیروهای غیرانتفاعی,0
27,  حمایت از علی‌اصغر احمدی برای تصدی پست معاون سیاسی وزیر کشور,0
28,  درخواست اضافه نمودن سنوات تدریس مدرسین حق‌التدریس دانشگاه‌های پیام نور، دولتی و آزاد به سقف محدود سنی استخدام‌های دولتی,0
29,  درخواست خرید بیمه سوابق تحصیلی دانشجویان درحال تحصیل,0
30,  درخواست تبدیل وضعیت شغلی رانندگان خودروهای استیجاری,0
31,  درخواست ایجاد چارت سازمانی برای سیمبان‌ها و نیروهای فاقد چارت سازمانی شرکت توزیع,0
32,  درخواست حمایت از مهندس ترحم بهزاد جهت ریاست سازمان منابع طبیعی و آبخیزداری کشور,0
33,  درخواست تغییر استانداران کل کشور و انتخاب نیروهای کارامد و باتجربه,0
34,  درخواست اجرای ماده ۲۷ قانون حمایت از حقوق معلولان,0
35,  درخواست بازنگری در آئین‌نامه‌های خدمات بیمه‌شدگان و حق‌الزحمه کارگزاران رسمی صندوق بیمه اجتماعی کشاورزان، روستاییان و عشایر,0
36,  مطالبه خانم استاندار,0
37,  درخواست افزوده شدن بند شرکت در عملیات‌های مهم دفاع مقدس در طول هشت سال جنگ تحمیلی در احستاب امتیازات ایثارگری,0
38,  درخواست اصلاح بخشنامه غیرکارشناسی در خصوص تغییر ماده‌ی ۳ معافیت از طرح,0
39,  درخواست پرداخت کمک‌هزینه رفاهی به بازنشستگان دانشگاه فرهنگیان,0
40,  درخواست حمایت از مهندسین در راستای ارتقا معیشت و جایگاه اجتماعی,0
41,  درخواست تأمین مسکن خبرنگاران,0
42,  اعتراض به نتایج نهایی کنکور فرهنگیان ۱۴۰۳ و عدم صدور کارنامه‌ی جدید و کد نخوردن رشته‌های انتخابی,0
43,  درخواست کاهش ۵۰ درصدی شهریه دکتری دانشگاه آزاد,0
44,  درخواست لغو امتیاز ضریب سابقه تدریس در آزمون کتبی پیش روی آموزش و پرورش,0
45,  درخواست آزادی رحمان عمراهی راننده ترانزیت بی‌گناه در زندان ترکیه,0
46,  اعتراض به تغییر عنوان دکترای پزشکی به دکترای حرفه‌ای,0
47,  درخواست ابطال شرایط و قوانین جدید صادره از سوی سازمان ثبت اسناد و املاک کشور ( ثبت شرکت‌ها),0
48,  درخواست تجدیدنظر در نتایج دانشگاه فرهنگیان و اجحاف صورت گرفته در حق داوطلبان بومی شهرستان کوهرنگ,0
49,  درخواست تعریض اتوبان تهران به قزوین,0
50,  درخواست اصلاح کف حقوق و اجرای کامل ماده ده برای همه کارمندان,0
51,  درخواست از ریاست محترم جمهور و وزیر محترم کار جهت انتخاب آقای دکتر علی حیدری برای مدیرعاملی سازمان تأمین اجتماعی,0
52,  درخواست انتصاب آقای دکتر کرکه‌آبادی به‌عنوان رئیس سازمان اداری و استخدامی,0
53,  درخواست از رئیس جمهور جهت توجه به دغدغه هواشناسان در تعیین رئیس سازمان هواشناسی کشور توسط وزیر راه و شهرسازی,0
54,  درخواست حفظ حقوق تحصیلی مردم ایران و محدودیت حضور اتباع بیگانه در مدارس دولتی,0
55,  درخواست از جناب آقای دکتر پزشکیان تغییر رئیس سازمان اداری و استخدامی کشور، آقای لطیفی,0
56,  درخواست اعلام نتایج فراگیر یازدهم,0
57,  درخواست پاسخگویی بانک شهر درباره مدیریت باشگاه پرسپولیس,0
58,  اعتراض به عدم کارایی بیمه آتیه‌سازان حافظ و درخواست لغو قرارداد۳۰۳۴,0
59,  درخواست حمایت از سهامداران بورس,0
60,  درخواست پرداخت معوقات رتبه بندی نو معلمان ورودی ۹۸ دانشگاه فرهنگیان,0
61,  اعتراض دانشجویان دانشگاه آزاد اسلامی نسبت به افزایش شهریه,0
62,  درخواست رسیدگی فوری به وضعیت کارکنان و کارگران پیمانکاری شرکت مخابرات,0
63,  درخواست جلوگیری از تضعیف نیروهای متخصص و رسمی وزارت نفت,0
64,  درخواست اصلاح شیوه نقل و انتقالات فرهنگیان,0
