,Topic,Count,Name,Representation,Representative_Docs
0,-1,4639,-1_درخواست_در_به_از,"['درخواست', 'در', 'به', 'از', 'های', 'اعتراض', 'برای', 'با', 'دانشگاه', 'آزمون']","['  درخواست جلوگیری از استفاده\u200cی فاضلاب برای کشاورزی در تهران', '  اعتراض به سهمیه\u200cهای آزمون ورودی دانشگاه\u200cهای دولتی', '  اعتراض به نحوه\u200cی رتبه\u200cبندی معلمان (از تصویب قانون در مجلس تا اجرای قانون در دولت)']"
1,0,1598,0_درخواست_حقوق_از_افزایش,"['درخواست', 'حقوق', 'از', 'افزایش', 'حمایت', 'بازنشستگان', 'قانون', 'های', 'مهندسی', 'به']","['  درخواست تغییر بیمه تکمیلی بازنشستگان سازمان بازنشستگی از آتیه سازان حافظ و یا افزایش سطح پوشش با افزایش حق بیمه تکمیلی', '  درخواست اجرای نظام هماهنگ پرداخت برای کلیه کارکنان و همسان\u200cسازی حقوق بازنشستگان', '  درخواست همسان\u200cسازی حقوق بازنشستگان، ترمیم حقوق متناسب با تورم، پرداخت مطالبات صندوق\u200cهای بازنشستگی']"
2,1,1417,1_دانشگاه_آزمون_آموزش_درخواست,"['دانشگاه', 'آزمون', 'آموزش', 'درخواست', 'امتحانات', 'نیروهای', 'آزاد', 'پرورش', 'استخدامی', 'برگزاری']","['  درخواست برگزاری امتحانات پایان\u200cترم دانشگاه\u200cها به صورت مجازی', '  اعتراض به حضوری شدن آزمون پایان\u200cترم ارشد دانشگاه پیام نور و سایر دانشگاه\u200cها', '  مطالبه تبدیل وضعیت نیروهای شرکتی دانشگاه علوم پزشکی']"
3,2,1082,2_رسیدگی_روستای_درخواست_اینترنت,"['رسیدگی', 'روستای', 'درخواست', 'اینترنت', 'به', 'جاده', 'شهرستان', 'وضعیت', 'احداث', 'مشکل']","['  درخواست رسیدگی به پوشش اینترنت و وضعیت آنتن\u200cدهی روستای قادرآباد شهرستان مهرستان', '  درخواست رسیدگی به مشکلات پوشش اینترنت در روستای تیجنان شهرستان سرباز', '  درخواست رسیدگی به مشکل پوشش اینترنت روستای اشکستگ شهرستان سرباز']"
4,3,452,3_در_واکسن_بیماران_درخواست,"['در', 'واکسن', 'بیماران', 'درخواست', 'جلوگیری', 'کرونا', 'حقوق', 'به', 'از', 'های']","['  درخواست در اولویت قرار گرفتن رانندگان ماشین\u200cهای سنگین برای واکسن کرونا', '  درخواست بازنگری در افزایش حقوق کارمندان دولت با توجه به افزایش قیمت\u200cها در سال ۱۴۰۱', '  درخواست در اولویت قرار گرفتن دانش\u200cآموزان برای دریافت واکسن کرونا']"
5,4,398,4_دکتر_آقای_جناب_ریاست,"['دکتر', 'آقای', 'جناب', 'ریاست', 'انتخابات', 'جمهوری', 'دعوت', 'از', 'عنوان', 'انتصاب']","['  دعوت از جناب آقای رئیسی جهت نامزدی در انتخابات ریاست جمهوری', '  درخواست از جناب آقای دکتر محمدباقر قالیباف برای حضور در انتخابات ریاست جمهوری', '  دعوت از جناب آقای دکتر محمد درویش جهت ثبت نام در انتخابات ریاست جمهوری']"
6,5,247,5_استان_شهرستان_حوزه_بلوچستان,"['استان', 'شهرستان', 'حوزه', 'بلوچستان', 'سیستان', 'انتخابیه', 'مرکزیت', 'بنزین', 'درخواست', 'مجلس']","['  درخواست تقسیم استان سیستان و بلوچستان به چهار استان', '  اعتراض به تقسیم استان سیستان و بلوچستان', '  اعتراض به کاهش سهمیه بنزین استان سیستان و بلوچستان']"
7,6,189,6_رئیس_معظم_از_جمهور,"['رئیس', 'معظم', 'از', 'جمهور', 'قوه', 'رهبر', 'شهردار', 'قضائیه', 'رهبری', 'عزل']","['  درخواست از مقام معظم رهبری برای حمایت از دانشگاه آزاد و ادغام آن با وزارت علوم', '  درخواست از رئیس محترم جمهور برای انتصاب وزیر کشاورزی', '  درخواست از مقام معظم رهبری برای رسیدگی به مشکلات ایثارگران']"
8,7,143,7_سابقه_جانبازان_بازنشستگی_۲۵,"['سابقه', 'جانبازان', 'بازنشستگی', '۲۵', 'درصد', 'بیمه', 'سال', 'سنوات', 'احتساب', 'زیر']","['  درخواست همسان\u200cسازی مزایای جانبازان زیر ۲۵ درصد با جانبازان بالای ۲۵ درصد', '  درخواست ارائه مزایای جانبازان بالای ۵۰ درصد به جانبازان زیر ۲۵ درصد با سابقه\u200cی بالای حضور در جبهه', '  درخواست بازنشستگی کارمندان دولت با ۲۵ سال سابقه']"
9,8,119,8_دکتر_حمایت_جلیلی_از,"['دکتر', 'حمایت', 'جلیلی', 'از', 'جمعی', 'پزشکیان', 'سعید', 'مسعود', 'آقای', 'زاکانی']","['  درخواست حمایت از دکتر سعید جلیلی', '  حمایت جمعی از معلمان از دکتر جلیلی', '  حمایت جمعی از جامعه پزشکی از دکتر سعید جلیلی']"
